"name","month","price","measure","mode","category","inflation_dynamic","inflation","short_name","picture"
"хліб цільнозерновий","2021-09-01",56.75,"Q1",0.3,"хліб",111,91.9,"хліб цільнозерновий","bread.png"
"хліб пшеничний","2021-09-01",32.9166666666667,"Q1",0.6,"хліб",93.8,95.6,"хліб пшеничний","bread.png"
"торти","2021-09-01",228.785183066362,"Q1",0.85,"солодощі",107.1,86,"торти","sweets.png"
"лимони","2021-09-01",57.175,"Q1",1,"фрукти",165,133,"лимони","fruits.png"
"банани","2021-09-01",25.8,"Q1",1,"фрукти",94.3,118,"банани","fruits.png"
"яблука","2021-09-01",16.8,"Q1",1,"фрукти",100,76,"яблука","fruits.png"
"апельсини","2021-09-01",45.9,"Q1",1,"фрукти",103.1,93.9,"апельсини","fruits.png"
"ківі","2021-09-01",88.175,"Q1",1,"фрукти",118,89,"ківі","fruits.png"
"мандарини","2021-09-01",70.8,"Q1",1,"фрукти",191,161,"мандарини","fruits.png"
"цибуля ріпчаста","2021-09-01",13.975,"Q1",1,"овочі",100.54,61,"цибуля ріпчаста","vegetables.png"
"картопля","2021-09-01",12.7,"Q1",1,"овочі",99.26,117,"картопля","vegetables.png"
"морква","2021-09-01",9.85,"Q1",1,"овочі",130,167,"морква","vegetables.png"
"кабачки","2021-09-01",16.9,"Q1",1,"овочі",74,169,"кабачки","vegetables.png"
"перець солодкий","2021-09-01",32.4,"Q1",1,"овочі",130,122,"перець солодкий","vegetables.png"
"буряк","2021-09-01",10.7,"Q1",1,"овочі",135,48,"буряк","vegetables.png"
"баклажани","2021-09-01",29.9,"Q1",1,"овочі",90.9,140,"баклажани","vegetables.png"
"капуста білокачанна","2021-09-01",4.7,"Q1",1,"овочі",78,87,"капуста білокачанна","vegetables.png"
"часник","2021-09-01",28.9,"Q1",1,"овочі",89,41,"часник","vegetables.png"
"помідори","2021-09-01",174,"Q1",0.25,"овочі",91.9,148,"помідори","vegetables.png"
"гриби","2021-09-01",73.75,"Q1",0.25,"овочі",103,108.1,"гриби","vegetables.png"
"салати","2021-09-01",151.714285714286,"Q1",1,"овочі",100,105.3,"салати","vegetables.png"
"сухофрукти","2021-09-01",161.5,"Q1",0.2,"сухофрукти",103.5,101.8,"сухофрукти","dried_fruits.png"
"цукати","2021-09-01",255.633333333333,"Q1",0.15,"солодощі",96.4,100,"цукати","sweets.png"
"сири розсольні","2021-09-01",203.538913043478,"Q1",1,"молочна продукція та яйця",114,128,"сири розсольні","milk.png"
"крем-сир","2021-09-01",259.884615384615,"Q1",0.125,"молочна продукція та яйця",103.4,103.4,"крем-сир","milk.png"
"сири плавлені","2021-09-01",196,"Q1",0.09,"молочна продукція та яйця",100,107.8,"сири плавлені","milk.png"
"молоко пастеризоване жирністю до 2,6% включно","2021-09-01",30.3916666666667,"Q1",0.9,"молочна продукція та яйця",104.7,103.6,"молоко 2.5%","milk.png"
"молоко з підвищеним вмістом жиру","2021-09-01",31.7,"Q1",0.95,"молочна продукція та яйця",96.4,105,"молоко 3.2%","milk.png"
"сири м’які нежирні","2021-09-01",129.6125,"Q1",0.2,"молочна продукція та яйця",100.74,100.49,"сири м’які нежирні","milk.png"
"сири м’які жирні","2021-09-01",137.278571428571,"Q1",0.2,"молочна продукція та яйця",100.62,100.62,"сири м’які жирні","milk.png"
"сирки та сиркова маса","2021-09-01",135.972222222222,"Q1",0.2,"молочна продукція та яйця",94.2,92.9,"сирки та сиркова маса","milk.png"
"сметана жирністю до 15% включно","2021-09-01",73.3458646616541,"Q1",0.35,"молочна продукція та яйця",94.7,100.76,"сметана 10-15%","milk.png"
"сметана з підвищеним вмістом жиру","2021-09-01",97.5428571428571,"Q1",0.35,"молочна продукція та яйця",102.9,107.5,"сметана 20%+","milk.png"
"йогурт","2021-09-01",61.8125,"Q1",0.115,"молочна продукція та яйця",106.7,108.3,"йогурт","milk.png"
"морозиво","2021-09-01",155.714285714286,"Q1",0.07,"солодощі",90.4,90.4,"морозиво","sweets.png"
"кефір 2.5%","2021-09-01",34.5611111111111,"Q1",0.9,"молочна продукція та яйця",100.5,103.8,"кефір 2.5%","milk.png"
"масло вершкове 73%","2021-09-01",235.3875,"Q1",0.2,"молочна продукція та яйця",98.3,103.4,"масло вершкове 73%","milk.png"
"масло вершкове 82%","2021-09-01",252.075,"Q1",0.2,"молочна продукція та яйця",91,90.5,"масло вершкове 82%","milk.png"
"маргарин","2021-09-01",84.8,"Q1",0.25,"молочна продукція та яйця",101.4,101.3,"маргарин","milk.png"
"яйця","2021-09-01",35.95,"Q1",1,"молочна продукція та яйця",99.63,109.9,"яйця 10шт.","milk.png"
"філе куряче","2021-09-01",128.585,"Q1",1,"м’ясо",101.5,98.2,"філе куряче","meat.png"
"свинина","2021-09-01",117.95,"Q1",1,"м’ясо",96.7,74,"свинина","meat.png"
"вирізка свиняча","2021-09-01",172.2,"Q1",1,"м’ясо",99.57,101.8,"вирізка свиняча","meat.png"
"свинина ребра","2021-09-01",129.95,"Q1",1,"м’ясо",122,100,"свинина ребра","meat.png"
"свинина гуляш","2021-09-01",109.95,"Q1",1,"м’ясо",100,100,"свинина гуляш","meat.png"
"яловичина фарш","2021-09-01",165.7,"Q1",1,"м’ясо",106.3,118,"яловичина фарш","meat.png"
"субпродукти яловичні","2021-09-01",34.45,"Q1",1,"м’ясо",104.6,102.2,"субпродукти яловичні","meat.png"
"субпродукти свинячі","2021-09-01",37.92,"Q1",1,"м’ясо",100.026,105.2,"субпродукти свинячі","meat.png"
"свинина фарш","2021-09-01",107.95,"Q1",1,"м’ясо",98.6,102.9,"свинина фарш","meat.png"
"яловичина","2021-09-01",217.95,"Q1",1,"м’ясо",100,109,"яловичина","meat.png"
"сало","2021-09-01",108.75,"Q1",1,"м’ясо",66,66,"сало","meat.png"
"яловичина ребра","2021-09-01",136.95,"Q1",1,"м’ясо",100,122,"яловичина ребра","meat.png"
"вироби з м’яса делікатесні","2021-09-01",246.59,"Q1",1,"ковбасні вироби",97.5,91.3,"м’ясні делікатеси","sausage.png"
"вирізка яловича","2021-09-01",549.1,"Q1",1,"м’ясо",115,137,"вирізка яловича","meat.png"
"риба червона","2021-09-01",349.9,"Q1",1,"риба та морепродукти",106.4,99.29,"риба червона","fish.png"
"риба річна","2021-09-01",119.9,"Q1",1,"риба та морепродукти",109.1,101.6,"риба річна","fish.png"
"сосиски, сардельки вищого ґатунку","2021-09-01",170.536666666667,"Q1",1,"ковбасні вироби",98,100.073,"сосиски, сардельки в/ґ","sausage.png"
"сосиски, сардельки першого ґатунку","2021-09-01",102.39,"Q1",1,"ковбасні вироби",97.9,97.9,"сосиски, сардельки 1/ґ","sausage.png"
"ковбаси сирокопчені в/ґ","2021-09-01",378.893333333333,"Q1",1,"ковбасні вироби",100.95,107.1,"ковбаси сирокопчені в/ґ","sausage.png"
"ковбаси варені вищого ґатунку","2021-09-01",159.04,"Q1",1,"ковбасні вироби",95.6,104,"ковбаси варені в/ґ","sausage.png"
"ковбаси варено-копчені в/ґ","2021-09-01",224.401071428571,"Q1",1,"ковбасні вироби",97.5,90.8,"ковбаси варено-копчені в/ґ","sausage.png"
"ковбаси варені першого ґатунку","2021-09-01",106.6175,"Q1",1,"ковбасні вироби",99.8,102.4,"ковбаси варені 1/ґ","sausage.png"
"оселедці","2021-09-01",152.407142857143,"Q1",0.18,"риба та морепродукти",102,97.3,"оселедці","fish.png"
"скумбрія копчена","2021-09-01",196.12,"Q1",1,"риба та морепродукти",85,106.1,"скумбрія копчена","fish.png"
"морепродукти","2021-09-01",225.115079365079,"Q1",0.2,"риба та морепродукти",114,104.9,"морепродукти","fish.png"
"ікра червона","2021-09-01",1266.20833333333,"Q1",0.1,"риба та морепродукти",108.6,330,"ікра червона","fish.png"
"риба морожена","2021-09-01",59.4,"Q1",1,"риба та морепродукти",83,75,"риба морожена","fish.png"
"філе мороженої риби","2021-09-01",129.071428571429,"Q1",0.7,"риба та морепродукти",94.6,100,"філе мороженої риби","fish.png"
"броколі заморожена","2021-09-01",90.625,"Q1",0.4,"овочі заморожені",121,81,"броколі заморожена","vegetables.png"
"пшоно","2021-09-01",19.5,"Q1",1,"бакалея",97.7,95.5,"пшоно","groceries.png"
"молочні суміші для дитячого харчування","2021-09-01",529.4375,"Q1",0.4,"молочна продукція та яйця",92.2,107.3,"молочні суміші для дитячого харчування","milk.png"
"сіль","2021-09-01",28.12,"Q1",0.5,"соуси та спеції",100,105.7,"сіль","species.png"
"мед","2021-09-01",151.48,"Q1",0.25,"солодощі",89,98.4,"мед","sweets.png"
"солодка вода","2021-09-01",12.1333333333333,"Q1",0.5,"безалкогольні напої",87,86,"солодка вода","non_alcohol_drinks.png"
"карамель","2021-09-01",70.2675,"Q1",1,"солодощі",98.5,108.1,"карамель","sweets.png"
"чай у пакетиках","2021-09-01",573.4,"Q1",0.05,"кава і чай",100.81,97.6,"чай у пакетиках","coffee_tea.png"
"вафлі","2021-09-01",121.78373015873,"Q1",1,"солодощі",99.73,107.7,"вафлі","sweets.png"
"крупи гречані","2021-09-01",50.590625,"Q1",1,"бакалея",100.78,100,"крупи гречані","groceries.png"
"рис","2021-09-01",41.3725,"Q1",1,"бакалея",102,102.9,"рис","groceries.png"
"крупи манні","2021-09-01",19.1875,"Q1",1,"бакалея",99.8,99.42,"крупи манні","groceries.png"
"пластівці вівсяні","2021-09-01",27.7,"Q1",0.5,"бакалея",80,63,"пластівці вівсяні","groceries.png"
"квасоля","2021-09-01",90.175,"Q1",0.2,"бакалея",100.19,100,"квасоля","groceries.png"
"крупи ячні","2021-09-01",18.29375,"Q1",0.8,"бакалея",102.7,102.7,"крупи ячні","groceries.png"
"макарони","2021-09-01",54.8,"Q1",0.5,"бакалея",114,103.5,"макарони","groceries.png"
"борошно пшеничне","2021-09-01",15.4444444444444,"Q1",1,"бакалея",100,89,"борошно пшеничне","groceries.png"
"цукор","2021-09-01",28,"Q1",0.005,"бакалея",100.089,94.7,"цукор","groceries.png"
"ром","2021-09-01",350,"Q1",0.7,"алкоголь",87,87,"ром","alcohol.png"
"супи","2021-09-01",199.8,"Q1",0.05,"бакалея",100.65,106.6,"супи","groceries.png"
"олія соняшникова","2021-09-01",68.3783333333333,"Q1",0.85,"олія",100.91,98.5,"олія соняшникова","oil.png"
"олія оливкова","2021-09-01",328.715,"Q1",0.5,"олія",96.5,99,"олія оливкова","oil.png"
"віскі","2021-09-01",529,"Q1",0.7,"алкоголь",92.8,100,"віскі","alcohol.png"
"пиво","2021-09-01",37.7608333333333,"Q1",0.5,"алкоголь",100.83,92.8,"пиво","alcohol.png"
"консерви рибні в олії","2021-09-01",228.664855072464,"Q1",0.24,"риба та морепродукти",98.3,96,"консерви рибні в олії","fish.png"
"вино біле сухе","2021-09-01",146,"Q1",0.75,"алкоголь",95.9,101.5,"вино біле сухе","alcohol.png"
"коньяк","2021-09-01",303.95,"Q1",0.5,"алкоголь",100.043,99.984,"коньяк","alcohol.png"
"вино червоне сухе","2021-09-01",141.23,"Q1",0.75,"алкоголь",96.3,97.7,"вино червоне сухе","alcohol.png"
"цукерки шоколадні","2021-09-01",309.465,"Q1",0.2,"солодощі",84,137,"цукерки шоколадні","sweets.png"
"шампанське","2021-09-01",208.666666666667,"Q1",0.75,"алкоголь",143,143,"шампанське","alcohol.png"
"горілка","2021-09-01",184.214285714286,"Q1",0.5,"алкоголь",102.3,101.9,"горілка","alcohol.png"
"майонез","2021-09-01",74.8026315789474,"Q1",0.3,"соуси та спеції",99.74,101.9,"майонез","species.png"
"паста томатна","2021-09-01",56.9894444444444,"Q1",0.07,"соуси та спеції",88,89,"паста томатна","species.png"
"кетчуп томатний","2021-09-01",46,"Q1",0.25,"соуси та спеції",99.3,98.3,"кетчуп томатний","species.png"
"кукурудза консервована","2021-09-01",84.3658088235294,"Q1",0.34,"консервовані овочі і гриби",96.3,100,"кукурудза консервована","conservation.png"
"горошок консервований","2021-09-01",64.2672883787661,"Q1",0.4,"консервовані овочі і гриби",97.2,100,"горошок консервований","conservation.png"
"гриби консервовані","2021-09-01",112.306517755868,"Q1",0.58,"консервовані овочі і гриби",102.4,92.1,"гриби консервовані","conservation.png"
"зефір","2021-09-01",106.25,"Q1",1,"солодощі",93.5,96,"зефір","sweets.png"
"печиво затяжне","2021-09-01",73.1083333333333,"Q1",0.11,"солодощі",111,92.6,"печиво затяжне","sweets.png"
"кава мелена","2021-09-01",277.95,"Q1",0.25,"кава і чай",95.6,98.4,"кава мелена","coffee_tea.png"
"кава розчинна","2021-09-01",834.947368421053,"Q1",0.1,"кава і чай",99.84,97.6,"кава розчинна","coffee_tea.png"
"сік апельсиновий","2021-09-01",42.46,"Q1",1,"безалкогольні напої",123,118,"сік апельсиновий","non_alcohol_drinks.png"
"сік яблучний","2021-09-01",23.0186842105263,"Q1",1,"безалкогольні напої",89,102.8,"сік яблучний","non_alcohol_drinks.png"
"сигарети з фільтром медіум класу","2021-09-01",58.75,"Q1",1,"сигарети",98.9,101.3,"сигарети з фільтром медіум класу","cigarettes.png"
"сигарети з фільтром преміум класу","2021-09-01",62.5,"Q1",1,"сигарети",100,100,"сигарети з фільтром преміум класу","cigarettes.png"
"батон","2021-10-01",39.2666666666667,"Q1",0.4,"хліб",85,90.5,"батон","bread.png"
"хліб житньо-пшеничний","2021-10-01",47.6875,"Q1",0.4,"хліб",101.5,100.013,"хліб житньо-пшеничний","bread.png"
"хліб цільнозерновий","2021-10-01",51,"Q1",0.3,"хліб",90.8,90,"хліб цільнозерновий","bread.png"
"хліб пшеничний","2021-10-01",35.0925,"Q1",0.6,"хліб",96.2,106.6,"хліб пшеничний","bread.png"
"торти","2021-10-01",213.645,"Q1",0.85,"солодощі",121,93.4,"торти","sweets.png"
"банани","2021-10-01",27.35,"Q1",1,"фрукти",98.4,106,"банани","fruits.png"
"яблука","2021-10-01",16.8,"Q1",1,"фрукти",105.7,100,"яблука","fruits.png"
"апельсини","2021-10-01",44.5,"Q1",1,"фрукти",103.7,96.9,"апельсини","fruits.png"
