"name","month","price","measure","category","inflation_dynamic","inflation"
"гриби консервовані","2021-09-01",112.306517755868,"Q1","консервовані овочі і гриби",102.4,92.1
"зефір","2021-09-01",106.25,"Q1","солодощі",93.5,96
"печиво затяжне","2021-09-01",73.1083333333333,"Q1","солодощі",111,92.6
"кава мелена","2021-09-01",277.95,"Q1","кава і чай",95.6,98.4
"кава розчинна","2021-09-01",834.947368421053,"Q1","кава і чай",99.84,97.6
"сік апельсиновий","2021-09-01",42.46,"Q1","безалкогольні напої",123,118
"сік яблучний","2021-09-01",23.0186842105263,"Q1","безалкогольні напої",89,102.8
"сигарети з фільтром медіум класу","2021-09-01",58.75,"Q1","сигарети",98.9,101.3
"сигарети з фільтром преміум класу","2021-09-01",62.5,"Q1","сигарети",100,100
"батон","2021-10-01",39.2666666666667,"Q1","хліб",86,90.5
"хліб житньо-пшеничний","2021-10-01",47.6875,"Q1","хліб",103.5,100.013
"хліб цільнозерновий","2021-10-01",51,"Q1","хліб",90.8,90
"хліб пшеничний","2021-10-01",35.0925,"Q1","хліб",102,106.6
"торти","2021-10-01",213.645,"Q1","солодощі",122,93.4
"банани","2021-10-01",27.35,"Q1","фрукти",98.4,106
"авокадо","2021-10-01",22.9,"Q1","фрукти",39,154
"кавуни","2021-10-01",6.2,"Q1","фрукти",70,101.6
"яблука","2021-10-01",16.8,"Q1","фрукти",102.8,100
"апельсини","2021-10-01",44.5,"Q1","фрукти",103.7,96.9
"виноград","2021-10-01",47.25,"Q1","фрукти",100.75,87
"ягоди","2021-10-01",338,"Q1","фрукти",230,103.2
"ківі","2021-10-01",74.5,"Q1","фрукти",167,84
"мандарини","2021-10-01",37.05,"Q1","фрукти",96.2,52
"лимони","2021-10-01",34.65,"Q1","фрукти",139,61
"цибуля ріпчаста","2021-10-01",13.9,"Q1","овочі",82,99.46
"морква","2021-10-01",7.6,"Q1","овочі",48,77
"картопля","2021-10-01",12.795,"Q1","овочі",99.961,100.75
"перець солодкий","2021-10-01",24.9,"Q1","овочі",64,77
"буряк","2021-10-01",7.9,"Q1","овочі",89,74
"капуста білокачанна","2021-10-01",6.05,"Q1","овочі",76,129
"баклажани","2021-10-01",32.9,"Q1","овочі",66,110
"часник","2021-10-01",32.65,"Q1","овочі",51,113
"помідори","2021-10-01",189.4,"Q1","овочі",158,108.9
"гриби","2021-10-01",71.625,"Q1","овочі",103.2,97.1
"салати","2021-10-01",151.714285714286,"Q1","овочі",98.9,100
"сухофрукти","2021-10-01",156,"Q1","сухофрукти",92.3,96.6
"цукати","2021-10-01",265.133333333333,"Q1","солодощі",100,103.7
"сири плавлені","2021-10-01",196,"Q1","молочна продукція та яйця",101,100
"сири розсольні","2021-10-01",178.24,"Q1","молочна продукція та яйця",90.6,88
"крем-сир","2021-10-01",251.3,"Q1","молочна продукція та яйця",96.7,96.7
"молоко пастеризоване жирністю до 2,6% включно","2021-10-01",29.0333333333333,"Q1","молочна продукція та яйця",91.7,95.5
"молоко з підвищеним вмістом жиру","2021-10-01",32.87,"Q1","молочна продукція та яйця",100,103.7
"сири м’які нежирні","2021-10-01",128.657142857143,"Q1","молочна продукція та яйця",96.8,99.26
"сири м’які жирні","2021-10-01",136.433333333333,"Q1","молочна продукція та яйця",97.8,99.38
"сирки та сиркова маса","2021-10-01",144.388888888889,"Q1","молочна продукція та яйця",105.6,106.2
"сметана жирністю до 15% включно","2021-10-01",77.4710424710425,"Q1","молочна продукція та яйця",103.3,105.6
"сметана з підвищеним вмістом жиру","2021-10-01",94.8,"Q1","молочна продукція та яйця",101.3,97.2
"йогурт","2021-10-01",57.9411764705882,"Q1","молочна продукція та яйця",92.5,93.7
"морозиво","2021-10-01",172,"Q1","солодощі",95,110
