"","name","month","value","measure","mode","inflation","category"
"1809","сири м’які жирні",2022-01-01,105.8,"min",0.2,0,"молочна продукція та яйця"
"1810","сирки та сиркова маса",2022-01-01,120.75,"min",0.2,0,"молочна продукція та яйця"
"1811","сметана жирністю до 15% включно",2022-01-01,59.1891891891892,"min",0.35,0,"молочна продукція та яйця"
"1812","сметана з підвищеним вмістом жиру",2022-01-01,73.75,"min",0.35,0,"молочна продукція та яйця"
"1813","йогурт",2022-01-01,NA,"min",0.115,NA,"молочна продукція та яйця"
"1814","морозиво",2022-01-01,23.9,"min",0.07,0,"солодощі"
"1815","кефір 2.5%",2022-01-01,22.7777777777778,"min",0.9,0,"молочна продукція та яйця"
"1816","масло вершкове 82%",2022-01-01,61.5,"min",0.2,13,"молочна продукція та яйця"
"1817","масло вершкове 73%",2022-01-01,171.65,"min",0.2,1.6,"молочна продукція та яйця"
"1818","маргарин",2022-01-01,59.6,"min",0.25,2.1,"молочна продукція та яйця"
"1819","яйця",2022-01-01,2.75,"min",1,0,"молочна продукція та яйця"
"1820","філе куряче",2022-01-01,55.9,"min",1,12,"м’ясо"
"1821","свинина",2022-01-01,118.95,"min",1,13,"м’ясо"
"1822","вирізка свиняча",2022-01-01,172.95,"min",1,1.2,"м’ясо"
"1823","свинина фарш",2022-01-01,103.95,"min",1,0,"м’ясо"
"1824","свинина ребра",2022-01-01,119.95,"min",1,6.2,"м’ясо"
"1825","субпродукти свинячі",2022-01-01,33.95,"min",1,0,"м’ясо"
"1826","яловичина",2022-01-01,125.95,"min",1,0,"м’ясо"
"1827","яловичина фарш",2022-01-01,155.95,"min",1,0,"м’ясо"
"1828","субпродукти яловичні",2022-01-01,32.42,"min",1,0,"м’ясо"
"1829","свинина гуляш",2022-01-01,110.95,"min",1,4.7,"м’ясо"
"1830","сало",2022-01-01,65.87,"min",1,0,"м’ясо"
"1831","яловичина ребра",2022-01-01,136.95,"min",1,0,"м’ясо"
"1832","вирізка яловича",2022-01-01,425.95,"min",1,0,"м’ясо"
"1833","риба червона",2022-01-01,359.9,"min",1,29,"риба та морепродукти"
"1834","риба річна",2022-01-01,52.9,"min",1,8,"риба та морепродукти"
"1835","сосиски, сардельки вищого ґатунку",2022-01-01,107.272727272727,"min",1,0,"ковбасні вироби"
"1836","ковбаси сирокопчені в/ґ",2022-01-01,250.9,"min",1,0,"ковбасні вироби"
"1837","ковбаси варено-копчені в/ґ",2022-01-01,99.95,"min",1,0,"ковбасні вироби"
"1838","сосиски, сардельки першого ґатунку",2022-01-01,64.5,"min",1,0,"ковбасні вироби"
"1839","ковбаси варені вищого ґатунку",2022-01-01,99.75,"min",1,11,"ковбасні вироби"
"1840","ковбаси варені першого ґатунку",2022-01-01,60.9195402298851,"min",1,0,"ковбасні вироби"
"1841","пиво",2022-01-01,16.6666666666667,"min",0.5,-4.8,"алкоголь"
"1842","вироби з м’яса делікатесні",2022-01-01,91.4571428571428,"min",1,83,"ковбасні вироби"
"1843","оселедці",2022-01-01,48.4,"min",0.18,0,"риба та морепродукти"
"1844","скумбрія копчена",2022-01-01,120.9,"min",1,0,"риба та морепродукти"
"1845","ікра червона",2022-01-01,190.652173913043,"min",0.1,0,"риба та морепродукти"
"1846","морепродукти",2022-01-01,11.9,"min",0.2,0,"риба та морепродукти"
"1847","вино червоне сухе",2022-01-01,44,"min",0.75,0,"алкоголь"
"1848","вино біле сухе",2022-01-01,49,"min",0.75,0,"алкоголь"
"1849","сіль",2022-01-01,5.05,"min",0.5,0,"соуси та спеції"
"1850","мед",2022-01-01,149.9,"min",0.25,0,"солодощі"
"1851","крупи гречані",2022-01-01,39.1,"min",1,0,"бакалея"
"1852","рис",2022-01-01,22.2,"min",1,7.4,"бакалея"
"1853","пластівці вівсяні",2022-01-01,27.1428571428571,"min",0.5,0,"бакалея"
"1854","крупи манні",2022-01-01,16.65,"min",1,0,"бакалея"
"1855","пшоно",2022-01-01,17.07,"min",1,0,"бакалея"
"1856","квасоля",2022-01-01,82.9,"min",0.2,-0.9,"бакалея"
"1857","крупи ячні",2022-01-01,17,"min",0.8,3.6,"бакалея"
"1858","макарони",2022-01-01,20.9,"min",0.5,0.72,"бакалея"
"1859","борошно пшеничне",2022-01-01,13.7,"min",1,0,"бакалея"
"1860","цукор",2022-01-01,26.9,"min",0.005,0,"бакалея"
"1861","ром",2022-01-01,55.2,"min",0.7,2.2,"алкоголь"
"1862","коньяк",2022-01-01,41,"min",0.5,2.8,"алкоголь"
"1863","супи",2022-01-01,56.75,"min",0.05,0,"бакалея"
"1864","віскі",2022-01-01,17.9,"min",0.7,0,"алкоголь"
"1865","шампанське",2022-01-01,68.6666666666667,"min",0.75,0,"алкоголь"
"1866","майонез",2022-01-01,41.4,"min",0.3,4.2,"соуси та спеції"
"1867","паста томатна",2022-01-01,44.5714285714286,"min",0.07,0,"соуси та спеції"
"1868","кетчуп томатний",2022-01-01,30.78,"min",0.25,0,"соуси та спеції"
"1869","олія соняшникова",2022-01-01,52.4705882352941,"min",0.85,4.2,"олія"
"1870","олія оливкова",2022-01-01,179.92,"min",0.5,0,"олія"
"1871","консерви рибні в олії",2022-01-01,163.733333333333,"min",0.24,25,"риба та морепродукти"
"1872","горошок консервований",2022-01-01,31.1764705882353,"min",0.4,0,"консервовані овочі і гриби"
"1873","кукурудза консервована",2022-01-01,47.3809523809524,"min",0.34,0,"консервовані овочі і гриби"
"1874","гриби консервовані",2022-01-01,85.6687898089172,"min",0.58,-13,"консервовані овочі і гриби"
"1875","цукерки шоколадні",2022-01-01,99,"min",0.2,0,"солодощі"
"1876","карамель",2022-01-01,54.1,"min",1,-1.5,"солодощі"
"1877","зефір",2022-01-01,85.4,"min",1,2.5,"солодощі"
"1878","печиво здобне",2022-01-01,37.5,"min",0.3,0,"солодощі"
"1879","вафлі",2022-01-01,74.375,"min",1,0,"солодощі"
"1880","печиво затяжне",2022-01-01,66,"min",0.11,0,"солодощі"
"1881","сік апельсиновий",2022-01-01,26.45,"min",1,14,"безалкогольні напої"
"1882","сік яблучний",2022-01-01,17.47,"min",1,0,"безалкогольні напої"
"1883","кава розчинна",2022-01-01,80.5,"min",0.1,-25,"кава і чай"
